a,b,c,receive_pell,receive_pell1,receive_pell2,receive_pell3,receive_pell4,receive_pell5,receive_pell6,receive_pell7,receive_pell8,receive_pell9,receive_pell10,receive_pell11,receive_pell12,receive_pell13,receive_pell14,receive_pell15,receive_pell16,receive_pell17,receive_pell18,receive_pell19,receive_pell20,receive_pell21,pell_avg,pell_avg1,pell_avg2,pell_avg3,pell_avg4,pell_avg5,pell_avg6,pell_avg7,pell_avg8,pell_avg9,pell_avg10,pell_avg11,pell_avg12,pell_avg13,pell_avg14,pell_avg15,pell_avg16,pell_avg17,pell_avg18,pell_avg19,pell_avg20,pell_avg21,pell_cost_1year,pell_cost_10year,receive_pell_baseline,receive_pell1_baseline,receive_pell2_baseline,receive_pell3_baseline,receive_pell4_baseline,receive_pell5_baseline,receive_pell6_baseline,receive_pell7_baseline,receive_pell8_baseline,receive_pell9_baseline,receive_pell10_baseline,receive_pell11_baseline,receive_pell12_baseline,receive_pell13_baseline,receive_pell14_baseline,receive_pell15_baseline,receive_pell16_baseline,receive_pell17_baseline,receive_pell18_baseline,receive_pell19_baseline,receive_pell20_baseline,receive_pell21_baseline,pell_avg_baseline,pell_avg1_baseline,pell_avg2_baseline,pell_avg3_baseline,pell_avg4_baseline,pell_avg5_baseline,pell_avg6_baseline,pell_avg7_baseline,pell_avg8_baseline,pell_avg9_baseline,pell_avg10_baseline,pell_avg11_baseline,pell_avg12_baseline,pell_avg13_baseline,pell_avg14_baseline,pell_avg15_baseline,pell_avg16_baseline,pell_avg17_baseline,pell_avg18_baseline,pell_avg19_baseline,pell_avg20_baseline,pell_avg21_baseline,pell_cost_1year_baseline,pell_cost_10year_baseline
6500,,,0.38224575,0.77626139,0.50185424,0.0800488,0.000200875,0.33997574,0.45760676,0.43607289,0.32161656,0.25986013,0.29003727,0.5204469,0.43162048,0.24689268,0.37507826,0.40451795,0.40330905,0.32115814,0.62002987,0.038536765,0.26273215,0.61643016,1503.9274,3405.5488,2064.1123,174.06271,0.90543926,1580.4027,1975.9983,1559.1368,1304.0343,971.58234,1278.636,2193.7385,1820.3671,1395.0121,1672.8901,1728.9691,1574.0881,1189.9707,2578.3901,188.14262,1067.1602,2791.9365,31.11243566,311.12436,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
6750,,,0.3632355,0.76787013,0.5334062,0.097110435,0.000217202,0.37296617,0.41906393,0.38810503,0.28845242,0.23360379,0.27646014,0.56298172,0.43125281,0.26949933,0.36656356,0.35757169,0.37386855,0.3315751,0.70562947,0.036954533,0.26954535,0.71409059,1504.9656,3517.0515,2293.3223,217.00195,0.87290061,1584.9346,1783.7686,1893.4614,1167.5306,1077.8746,1185.6456,2253.3347,2038.5789,1446.0753,1620.5522,2055.7285,1835.8657,1373.2679,3069.1826,166.3438,1149.4924,2840.8376,30.12791809,301.27917,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
7000,,,0.3508451,0.73080844,0.52578163,0.10174234,0.00032828,0.3892315,0.47174969,0.45357779,0.27868113,0.27127677,0.32537243,0.49311668,0.41996548,0.2544066,0.35935062,0.36726612,0.38218525,0.35749471,0.69073218,0.03772356,0.28574729,0.66369379,1635.1237,3629.3013,2610.4202,233.22478,1.0032991,1427.1396,1862.7141,1816.118,1382.7738,1176.7819,1265.0012,2165.5544,2020.4425,1440.0958,1865.6958,2023.9396,1718.5043,1284.5073,2699.4265,192.95427,1250.2448,3133.3411,28.85474687,288.54745,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
7250,,,0.3879551,0.64228845,0.61482286,0.10954757,0.000372515,0.37314495,0.40964037,0.39383778,0.27690786,0.23170732,0.28524652,0.53879112,0.38726661,0.26539028,0.41930947,0.37984839,0.39841709,0.37178659,0.59045929,0.036692899,0.28935334,0.64668155,1528.4528,4244.8657,2650.0901,274.79633,1.1611483,1625.8878,2147.939,2062.2881,1337.8638,1179.2797,1388.2222,2537.4158,2110.6204,1460.6072,2065.1282,2146.1497,1895.9971,1291.7719,2975.73,190.85225,1154.3224,3585.9587,35.53588719,355.35889,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
7500,,,0.35788792,0.68448967,0.60967267,0.11548018,0.000367557,0.34968698,0.46692631,0.44870633,0.29494265,0.26737821,0.32255122,0.48635647,0.39920855,0.25586322,0.3981002,0.41002384,0.35126936,0.33416137,0.6446597,0.040182676,0.29908717,0.69230205,1578.4961,3899.3586,2672.9153,262.51099,1.1958315,1623.816,1971.8345,2050.9214,1400.1136,1265.0214,1459.5013,2701.3254,2251.0566,1452.3918,1818.0754,2088.8132,2078.1243,1573.1912,3124.875,214.56857,1199.0802,3695.825,33.85956808,338.59567,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
7750,,,0.34050658,0.74782532,0.59305489,0.14017844,0.000985464,0.36368364,0.42551506,0.4729687,0.27980271,0.23334132,0.3308104,0.52847809,0.45338929,0.27672383,0.36650428,0.43911418,0.35714796,0.32478759,0.70837748,0.044944469,0.27690226,0.70699149,1636.6316,4319.2456,2698.3318,340.40656,1.7796584,1738.7559,2351.7251,2080.3665,1394.8679,1165.3464,1390.3291,2763.9746,2306.2576,1492.7838,1997.8529,2061.6152,2104.5281,1469.3826,3536.1345,212.63362,1474.7538,3645.2842,35.6158502,356.15851,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
8000,,,0.38984168,0.6387251,0.57540959,0.1458371,0.001197138,0.34978849,0.45016444,0.45360473,0.29431713,0.24724349,0.30461004,0.55468482,0.4192878,0.25793684,0.41370556,0.38640752,0.41487515,0.32642511,0.66692966,0.04264288,0.32203516,0.72258604,1792.9216,4184.8833,2993.5498,369.33505,2.1247721,2006.2579,2383.1711,2285.8635,1663.2655,1362.7612,1439.6627,2657.1099,2151.5798,1754.3243,1977.5051,2383.7715,2130.7732,1535.8828,3272.0659,216.12082,1516.8053,3811.0583,36.17869124,361.78693,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
8250,,,0.38774815,0.66871309,0.53865117,0.16180167,0.001539279,0.39068112,0.40936902,0.45940238,0.29769713,0.24663487,0.29169694,0.47284663,0.41857198,0.28452629,0.37360319,0.42807493,0.39641273,0.37848482,0.68218786,0.044389047,0.32931501,0.70779032,2105.7773,4413.2974,2824.8896,392.85031,2.4919589,1964.8466,2375.0471,2168.1443,1533.5826,1334.9028,1505.8632,2788.1326,2397.6184,1620.5387,2300.4475,2276.885,2260.1052,1489.5585,3542.0752,230.84329,1418.2501,3608.3411,35.73718832,357.37189,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
8500,,,0.38936588,0.71827811,0.60834211,0.15648769,0.002239356,0.40622133,0.42722127,0.4532412,0.30310008,0.2715582,0.32235074,0.49935791,0.4076969,0.27228761,0.40829423,0.45352039,0.39774069,0.37074322,0.7027126,0.04173043,0.28087038,0.6515584,2188.9509,5123.1665,3136.9275,397.38278,3.1073513,2051.9988,2321.4639,2213.1997,1843.4537,1434.3385,1462.6964,3111.6775,2592.1287,1553.3507,2115.0913,2715.658,2297.262,1672.7502,3847.8716,218.71304,1539.8052,3691.821,38.1893122,381.89313,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
8750,,,0.41002145,0.74303246,0.56600392,0.15499777,0.002646034,0.37478858,0.48707175,0.43885344,0.33825487,0.24147077,0.29269075,0.51596618,0.40285322,0.25606096,0.4507679,0.4091484,0.42039943,0.3253358,0.62006503,0.038847331,0.28002527,0.61371171,1991.9036,5024.1646,2997.6912,501.73373,4.0429196,1931.5094,2793.0354,2443.4458,1880.766,1353.6434,1805.7886,3132.2,2666.762,1712.9094,2396.8694,2421.7957,2463.2825,1618.673,3728.0276,241.99438,1640.5447,4182.582,37.28029132,372.80292,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
